time ,tube,strain,formaldehyde_original,CFU_mL
0,1,CM2730,5,7.00E+07
0,2,CM3745,5,1.40E+08
0,3,CM2730,7.5,1.30E+08
0,4,CM3745,7.5,6.57E+07
0,5,CM2730,10,1.10E+08
0,6,CM3745,10,5.73E+07
0,7,CM2730,12.5,9.00E+07
0,8,CM3745,12.5,6.50E+07
0,9,CM2730,15,4.80E+07
0,10,CM3745,15,6.95E+07
0,11,CM2730,20,2.40E+08
0,12,CM3745,20,6.10E+07
20,1,CM2730,5,1.75E+08
20,2,CM3745,5,1.05E+08
20,3,CM2730,7.5,2.10E+08
20,4,CM3745,7.5,5.40E+08
20,5,CM2730,10,1.00E+08
20,6,CM3745,10,7.00E+07
20,7,CM2730,12.5,1.00E+08
20,8,CM3745,12.5,4.15E+07
20,9,CM2730,15,3.55E+07
20,10,CM3745,15,1.65E+07
20,11,CM2730,20,6.07E+07
20,12,CM3745,20,5.70E+07
40,1,CM2730,5,8.00E+07
40,2,CM3745,5,8.00E+07
40,3,CM2730,7.5,1.40E+08
40,4,CM3745,7.5,1.20E+08
40,5,CM2730,10,9.00E+07
40,6,CM3745,10,2.10E+07
40,7,CM2730,12.5,2.10E+07
40,8,CM3745,12.5,1.90E+07
40,9,CM2730,15,1.70E+07
40,10,CM3745,15,1.60E+07
40,11,CM2730,20,2.10E+06
40,12,CM3745,20,9.50E+05
60,1,CM2730,5,1.10E+08
60,2,CM3745,5,9.00E+07
60,3,CM2730,7.5,4.00E+07
60,4,CM3745,7.5,4.10E+07
60,5,CM2730,10,2.05E+07
60,6,CM3745,10,4.43E+07
60,7,CM2730,12.5,1.10E+07
60,8,CM3745,12.5,3.80E+06
60,9,CM2730,15,8.00E+05
60,10,CM3745,15,9.00E+05
60,11,CM2730,20,2.20E+05
60,12,CM3745,20,1.55E+04
80,1,CM2730,5,7.50E+07
80,2,CM3745,5,1.30E+08
80,3,CM2730,7.5,3.65E+07
80,4,CM3745,7.5,3.75E+07
80,5,CM2730,10,1.00E+07
80,6,CM3745,10,1.00E+07
80,7,CM2730,12.5,4.45E+06
80,8,CM3745,12.5,5.47E+05
80,9,CM2730,15,2.50E+05
80,10,CM3745,15,1.70E+05
80,11,CM2730,20,5.87E+04
80,12,CM3745,20,2.60E+03
100,1,CM2730,5,4.90E+07
100,2,CM3745,5,1.65E+08
100,3,CM2730,7.5,4.20E+07
100,4,CM3745,7.5,5.83E+07
100,5,CM2730,10,2.95E+06
100,6,CM3745,10,1.90E+06
100,7,CM2730,12.5,3.65E+05
100,8,CM3745,12.5,1.00E+06
100,9,CM2730,15,2.70E+04
100,10,CM3745,15,2.85E+04
100,11,CM2730,20,2.90E+03
100,12,CM3745,20,1.70E+03
120,1,CM2730,5,3.25E+07
120,2,CM3745,5,1.20E+08
120,3,CM2730,7.5,1.45E+07
120,4,CM3745,7.5,2.45E+07
120,5,CM2730,10,8.00E+05
120,6,CM3745,10,3.80E+06
120,7,CM2730,12.5,1.09E+05
120,8,CM3745,12.5,5.63E+04
120,9,CM2730,15,9.60E+03
120,10,CM3745,15,5.00E+03
120,11,CM2730,20,4.00E+02
120,12,CM3745,20,9.00E+02
140,1,CM2730,5,1.70E+07
140,2,CM3745,5,1.30E+08
140,3,CM2730,7.5,2.75E+06
140,4,CM3745,7.5,6.10E+07
140,5,CM2730,10,6.00E+04
140,6,CM3745,10,1.40E+05
140,7,CM2730,12.5,2.70E+04
140,8,CM3745,12.5,2.00E+04
140,9,CM2730,15,9.50E+02
140,10,CM3745,15,1.40E+04
140,11,CM2730,20,2.00E+02
140,12,CM3745,20,3.00E+02
160,1,CM2730,5,2.25E+07
160,2,CM3745,5,2.80E+08
160,3,CM2730,7.5,5.23E+05
160,4,CM3745,7.5,2.99E+08
160,5,CM2730,10,3.20E+04
160,6,CM3745,10,2.30E+05
160,7,CM2730,12.5,9.00E+03
160,8,CM3745,12.5,4.10E+04
160,9,CM2730,15,9.00E+02
160,10,CM3745,15,9.50E+03
160,11,CM2730,20,2.00E+02
160,12,CM3745,20,0.00E+00
180,1,CM2730,5,5.90E+06
180,2,CM3745,5,1.80E+08
180,3,CM2730,7.5,8.00E+04
180,4,CM3745,7.5,9.17E+07
180,5,CM2730,10,5.00E+03
180,6,CM3745,10,8.27E+05
180,7,CM2730,12.5,6.67E+03
180,8,CM3745,12.5,1.00E+04
180,9,CM2730,15,2.00E+02
180,10,CM3745,15,3.00E+03
180,11,CM2730,20,0.00E+00
180,12,CM3745,20,0.00E+00
720,1,CM2730,5,1.00E+07
720,2,CM3745,5,2.50E+08
720,3,CM2730,7.5,6.00E+01
720,4,CM3745,7.5,1.80E+08
720,5,CM2730,10,0.00E+00
720,6,CM3745,10,7.00E+04
720,7,CM2730,12.5,0.00E+00
720,8,CM3745,12.5,7.00E+02
720,9,CM2730,15,0.00E+00
720,10,CM3745,15,2.25E+02
720,11,CM2730,20,0.00E+00
720,12,CM3745,20,0.00E+00
1500,1,CM2730,5,5.10E+07
1500,2,CM3745,5,1.05E+08
1500,3,CM2730,7.5,1.45E+02
1500,4,CM3745,7.5,1.50E+08
1500,5,CM2730,10,0.00E+00
1500,6,CM3745,10,2.60E+04
1500,7,CM2730,12.5,0.00E+00
1500,8,CM3745,12.5,1.00E+02
1500,9,CM2730,15,0.00E+00
1500,10,CM3745,15,7.00E+01
1500,11,CM2730,20,0.00E+00
1500,12,CM3745,20,0.00E+00
