tube,time,substrate,strain,formaldehyde_original,cells
1,0,methanol,CM2730,0,1.00E+05
2,0,methanol,CM2730,2,9.09E+05
3,0,methanol,CM2730,3,2.45E+05
4,0,methanol,CM2730,4,3.00E+05
5,0,methanol,CM3745,0,1.18E+06
6,0,methanol,CM3745,2,6.36E+05
7,0,methanol,CM3745,3,4.09E+05
8,0,methanol,CM3745,4,1.00E+06
9,0,succinate,CM2730,0,1.64E+06
10,0,succinate,CM2730,2,9.09E+05
11,0,succinate,CM2730,3,5.45E+05
12,0,succinate,CM2730,4,1.18E+06
13,0,succinate,CM3745,0,5.45E+05
14,0,succinate,CM3745,2,1.18E+06
15,0,succinate,CM3745,3,1.45E+06
16,0,succinate,CM3745,4,9.09E+05
1,8,methanol,CM2730,0,1.09E+06
2,8,methanol,CM2730,2,1.36E+06
3,8,methanol,CM2730,3,1.09E+06
4,8,methanol,CM2730,4,1.18E+06
5,8,methanol,CM3745,0,1.55E+06
6,8,methanol,CM3745,2,2.36E+06
7,8,methanol,CM3745,3,1.00E+06
8,8,methanol,CM3745,4,2.00E+06
9,8,succinate,CM2730,0,2.73E+06
10,8,succinate,CM2730,2,1.73E+06
11,8,succinate,CM2730,3,4.73E+05
12,8,succinate,CM2730,4,4.27E+05
13,8,succinate,CM3745,0,2.73E+06
14,8,succinate,CM3745,2,2.36E+06
15,8,succinate,CM3745,3,2.00E+06
16,8,succinate,CM3745,4,1.09E+06
1,16,methanol,CM2730,0,2.91E+07
2,16,methanol,CM2730,2,3.91E+05
3,16,methanol,CM2730,3,1.73E+05
4,16,methanol,CM2730,4,5.45E+02
5,16,methanol,CM3745,0,1.82E+07
6,16,methanol,CM3745,2,1.00E+06
7,16,methanol,CM3745,3,2.18E+07
8,16,methanol,CM3745,4,1.00E+07
9,16,succinate,CM2730,0,9.09E+07
10,16,succinate,CM2730,2,3.82E+06
11,16,succinate,CM2730,3,7.27E+05
12,16,succinate,CM2730,4,9.09E+04
13,16,succinate,CM3745,0,7.27E+07
14,16,succinate,CM3745,2,7.27E+07
15,16,succinate,CM3745,3,1.00E+08
16,16,succinate,CM3745,4,3.55E+07
1,25.5,methanol,CM2730,0,2.36E+08
2,25.5,methanol,CM2730,2,8.18E+07
3,25.5,methanol,CM2730,3,1.73E+06
4,25.5,methanol,CM2730,4,2.18E+03
5,25.5,methanol,CM3745,0,6.36E+07
6,25.5,methanol,CM3745,2,2.64E+08
7,25.5,methanol,CM3745,3,1.82E+08
8,25.5,methanol,CM3745,4,2.09E+08
9,25.5,succinate,CM2730,0,2.36E+08
10,25.5,succinate,CM2730,2,8.18E+07
11,25.5,succinate,CM2730,3,6.18E+05
12,25.5,succinate,CM2730,4,9.09E+04
13,25.5,succinate,CM3745,0,3.09E+08
14,25.5,succinate,CM3745,2,2.82E+08
15,25.5,succinate,CM3745,3,2.45E+08
16,25.5,succinate,CM3745,4,2.45E+08
1,34.5,methanol,CM2730,0,2.09E+08
2,34.5,methanol,CM2730,2,2.00E+08
3,34.5,methanol,CM2730,3,2.36E+07
4,34.5,methanol,CM2730,4,1.64E+05
5,34.5,methanol,CM3745,0,1.27E+08
6,34.5,methanol,CM3745,2,2.64E+08
7,34.5,methanol,CM3745,3,2.45E+08
8,34.5,methanol,CM3745,4,2.64E+08
9,34.5,succinate,CM2730,0,2.45E+08
10,34.5,succinate,CM2730,2,2.36E+08
11,34.5,succinate,CM2730,3,1.91E+04
12,34.5,succinate,CM2730,4,3.09E+03
13,34.5,succinate,CM3745,0,2.36E+08
14,34.5,succinate,CM3745,2,2.55E+08
15,34.5,succinate,CM3745,3,2.73E+08
16,34.5,succinate,CM3745,4,2.18E+08
