substrate,strain,formaldehyde_original,tube,time,formaldehyde_mM
methanol,CM2730,0,1,0,0.66114
methanol,CM2730,2,2,0,1.047834
methanol,CM2730,3,3,0,1.833696
methanol,CM2730,4,4,0,2.51145
methanol,CM3745,0,5,0,0.690246
methanol,CM3745,2,6,0,0.99378
methanol,CM3745,3,7,0,0.99378
methanol,CM3745,4,8,0,2.295234
succinate,CM2730,0,9,0,0.644508
succinate,CM2730,2,10,0,1.051992
succinate,CM2730,3,11,0,1.792116
succinate,CM2730,4,12,0,2.51145
succinate,CM3745,0,13,0,0.669456
succinate,CM3745,2,14,0,1.022886
succinate,CM3745,3,15,0,1.792116
succinate,CM3745,4,16,0,1.002096
methanol,CM2730,0,1,8,0.64035
methanol,CM2730,2,2,8,0.99378
methanol,CM2730,3,3,8,1.80459
methanol,CM2730,4,4,8,2.49066
methanol,CM3745,0,5,8,0.665298
methanol,CM3745,2,6,8,0.956358
methanol,CM3745,3,7,8,1.629954
methanol,CM3745,4,8,8,2.316024
succinate,CM2730,0,9,8,0.632034
succinate,CM2730,2,10,8,0.860724
succinate,CM2730,3,11,8,1.625796
succinate,CM2730,4,12,8,2.274444
succinate,CM3745,0,13,8,0.652824
succinate,CM3745,2,14,8,0.760932
succinate,CM3745,3,15,8,1.447002
succinate,CM3745,4,16,8,2.212074
methanol,CM2730,0,1,16,0.607086
methanol,CM2730,2,2,16,0.9522
methanol,CM2730,3,3,16,1.97091
methanol,CM2730,4,4,16,2.727666
methanol,CM3745,0,5,16,0.648666
methanol,CM3745,2,6,16,0.70272
methanol,CM3745,3,7,16,1.226628
methanol,CM3745,4,8,16,1.767168
succinate,CM2730,0,9,16,0.607086
succinate,CM2730,2,10,16,0.777564
succinate,CM2730,3,11,16,1.72143
succinate,CM2730,4,12,16,2.519766
succinate,CM3745,0,13,16,0.627876
succinate,CM3745,2,14,16,0.61956
succinate,CM3745,3,15,16,0.623718
succinate,CM3745,4,16,16,1.05615
methanol,CM2730,0,1,25.5,0.586296
methanol,CM2730,2,2,25.5,0.602928
methanol,CM2730,3,3,25.5,2.066544
methanol,CM2730,4,4,25.5,2.611242
methanol,CM3745,0,5,25.5,0.615402
methanol,CM3745,2,6,25.5,0.61956
methanol,CM3745,3,7,25.5,0.602928
methanol,CM3745,4,8,25.5,0.602928
succinate,CM2730,0,9,25.5,0.582138
succinate,CM2730,2,10,25.5,0.594612
succinate,CM2730,3,11,25.5,1.76301
succinate,CM2730,4,12,25.5,2.557188
succinate,CM3745,0,13,25.5,0.590454
succinate,CM3745,2,14,25.5,0.590454
succinate,CM3745,3,15,25.5,0.594612
succinate,CM3745,4,16,25.5,0.607086
methanol,CM2730,0,1,34.5,0.602928
methanol,CM2730,2,2,34.5,0.586296
methanol,CM2730,3,3,34.5,1.53432
methanol,CM2730,4,4,34.5,2.98962
methanol,CM3745,0,5,34.5,0.59877
methanol,CM3745,2,6,34.5,0.594612
methanol,CM3745,3,7,34.5,0.582138
methanol,CM3745,4,8,34.5,0.615402
succinate,CM2730,0,9,34.5,0.57798
succinate,CM2730,2,10,34.5,0.59877
succinate,CM2730,3,11,34.5,1.92933
succinate,CM2730,4,12,34.5,2.515608
succinate,CM3745,0,13,34.5,0.594612
succinate,CM3745,2,14,34.5,0.59877
succinate,CM3745,3,15,34.5,0.586296
succinate,CM3745,4,16,34.5,0.586296
methanol,CM2730,0,1,40,0.586296
methanol,CM2730,2,2,40,0.594612
methanol,CM2730,3,3,40,0.66114
methanol,CM2730,4,4,40,2.977146
methanol,CM3745,0,5,40,0.602928
methanol,CM3745,2,6,40,0.602928
methanol,CM3745,3,7,40,0.590454
methanol,CM3745,4,8,40,0.59877
succinate,CM2730,0,9,40,0.594612
succinate,CM2730,2,10,40,0.594612
succinate,CM2730,3,11,40,1.900224
succinate,CM2730,4,12,40,2.632032
succinate,CM3745,0,13,40,0.594612
succinate,CM3745,2,14,40,0.590454
